ID,original_audit_id,severity,subsystem,root_cause,current_behavior,expected_behavior,code_location,reproduction,fix,migration,compatibility,rollback,automated_regression,production_like_evidence,residual_risk,status
L5-001,AUD-012,CRITICAL,Paper,"real LEAN results are treated as final fills rather than order intents","finalize writes LEAN orders directly and report rejects is empty","one intent source must pass constraints and deterministic matching before ledger","web/backend/app/services/paper.py:676","inspect 21-day sessions: rejectedOrders=0","unified intent/state/constraint/ledger pipeline required",required,"legacy sessions remain read-only",new implementation must be feature-gated,missing,"21 days exist but fail same-session reject gate","LEAN cumulative strategy state may diverge from external paper ledger",OPEN
L5-002,AUD-012,CRITICAL,Order state,"no persisted state-transition event model","paper_orders has coarse status only","required 13-state machine with immutable transition metadata","web/backend/app/migrations/versions/0010_lean_paper_walkforward.sql","inspect schema and finalize_walkforward_run",not fixed,required,additive migration required,drop only new tables after export,missing,none,"duplicate fee/fill cannot be proven impossible across six phases",OPEN
L4-001,AUD-008,HIGH,MySQL testing,"test suite defaults to SQLite and no CI lane exists","355 unit tests pass but no required production MySQL repository/concurrency lane","separate integration-mysql and nightly-production-like gates","web/backend/tests/conftest.py","inspect CI files and test config",not fixed,none,test behavior must remain fast,remove future lane only,missing,none,"MySQL locks/upserts/index behavior unproven",OPEN
L4-002,,HIGH,Level4 audit,"audit client does not load API token","all preview calls return HTTP 401","authenticated audit entrypoint","scripts/run_level4_audit.py:75","run preview against authenticated API",pending,none,backward-compatible,remove token header helper,missing,"audit cannot generate evidence",IN_PROGRESS
L4-003,,CRITICAL,Level4 audit,"validator returns passed even with collected failures","failed invariants can be reported passed","any validation failure must fail case","scripts/run_level4_audit.py:451","inspect return value after failures",pending,none,backward-compatible,restore prior function,missing,"false Level4 PASS possible",IN_PROGRESS
L4-004,,HIGH,Walk-forward,"expansion models train and test only","no validation phase or explicit OOS anti-leakage proof","train/validation/OOS and provenance in fingerprint","web/backend/app/services/experiment_batches.py","preview walk_forward config",not fixed,likely,compatibility design needed,feature flag,missing,none,"lookahead cannot be excluded",OPEN
OPS-001,AUD-019,CRITICAL,Fault recovery,"only service restart smoke was implemented","disk/OOM/network/in-flight/concurrency matrix absent","isolated full fault matrix with invariants and RTO","scripts/run_service_restart_fault_acceptance.py","compare required matrix with script options",not fixed,none,n/a,n/a,missing,07-23 partial JSON only,"unknown recovery and corruption behavior",OPEN
DR-001,AUD-011,CRITICAL,Disaster recovery,"backup tooling lacks production-scale rehearsal","no encrypted independent-volume restore at representative size","measured RPO/RTO and full object/canonical restoration","scripts/backup_mysql.sh;scripts/restore_mysql.sh","review 07-23 evidence and current volumes",not fixed,none,n/a,n/a,missing,none,"data loss and restore duration unknown",OPEN
SEC-001,AUD-002,CRITICAL,Runner,"general backtest worker owns raw Docker socket","worker can control host Docker and reads/writes repository/Data","restricted runner without raw socket and fixed job schema","docker-compose.yml","docker inspect lean-platform-backtest-worker-1",not fixed,none,runner migration required,restore trusted-worker topology,missing,current inspect proves risk open,"host compromise by malicious strategy/worker",OPEN
SEC-002,AUD-014,CRITICAL,Credentials,"repository-known defaults are active Compose configuration","MySQL/ClickHouse/Grafana defaults; Redis unauthenticated","runtime secrets and atomic rotation with old credentials invalid","docker-compose.yml","inspect Compose environment/healthchecks",not fixed,none,requires maintenance window,documented credential rollback required,missing,none,"credential disclosure and lateral movement",OPEN
SC-001,AUD-018,HIGH,Supply chain,"requirements are ranges and no signing trust policy","static checker fails 25 dependencies","hash-locked transitive dependencies, scanning, exception ledger, signed provenance","web/backend/requirements.txt;scripts/check_supply_chain.py","run check_supply_chain.py",not fixed,none,lock generation must preserve platforms,restore prior requirements,checker exists,current result failed,"dependency substitution and vulnerable images",OPEN
DOC-001,,MEDIUM,Documentation,"living docs were not updated with current implementation","API says unauthenticated; architecture says latest migration 0020 and Level3 unaccepted","docs must match code and retain historical conclusions","docs/api.md;docs/architecture.md","compare with README and schema",pending,none,n/a,revert doc patch,help checks exist,none,"operators follow unsafe/incorrect procedure",IN_PROGRESS
ENV-001,,HIGH,Tooling,"venv python symlink targets missing /usr/local/bin/python3","documented commands fail with exit 127","tracked bootstrap/check must select working interpreter or repair environment","web/backend/.venv/bin/python (runtime, untracked)","run documented pytest command",not fixed,none,do not commit venv,local relink,missing,current failure captured,"release commands are not reproducible",BLOCKED
EVD-001,,HIGH,Evidence governance,"audit artifacts retained only in /tmp/private/tmp","evidence exists today but is mutable and outside governed archive","sanitized immutable archive plus checksum manifest","docs/history/independent-audit-2026-07-24.md","stat referenced files and search repository",pending,none,n/a,remove only new archive copy,missing,tmp artifacts located,"loss of auditability after cleanup/reboot",OPEN
