ID,original_audit_id,severity,subsystem,root_cause,current_behavior,expected_behavior,code_location,reproduction,fix,migration,compatibility,rollback,automated_regression,production_like_evidence,residual_risk,status
L5-001,AUD-012,CRITICAL,Paper,"LEAN results treated as final fills rather than intents","finalize writes LEAN orders/fills directly; rejects empty","one intent source through constraints/matching/ledger","web/backend/app/services/paper.py","strict 21-day audit returns required_reject_not_met","unified v2 intent pipeline required",required,"old sessions read-only","feature gate v2",missing,"21 days and reconciliation exist but rejected=0","cumulative LEAN state can diverge from external ledger",OPEN
L5-002,AUD-012,CRITICAL,Order state,"no immutable 13-state transition model","coarse order status cannot prove transition legality","persist event/idempotency/version/attempt/correlation metadata","web/backend/app/migrations/versions/0010_lean_paper_walkforward.sql","inspect schema and six-phase requirements","not implemented",required,"additive migration","export/drop only new v2 tables",missing,none,"duplicate fee/fill recovery is unproven",OPEN
L4-001,AUD-008,HIGH,MySQL testing,"tests historically defaulted to SQLite","isolated MySQL lane now runs migrations/index/transaction/lock checks","required merge/main MySQL integration gate","docker-compose.yml;web/backend/tests/test_mysql_integration_lane.py","docker compose -p lean-platform-level5-it --profile test run --build --rm mysql-integration-tests","ephemeral MySQL test profile",none,"unit lane unchanged","remove test-only services",yes,"2 passed 1 skipped 357 deselected","not enforced in CI",FIXED_PENDING_REAUDIT
L4-002,,HIGH,Level4 audit,"audit client omitted API token","runtime token/file now used for JSON and CSV","authenticated audit entrypoint","scripts/run_level4_audit.py","execute against authenticated API","added bearer headers",none,"auth-disabled lanes still work","revert header helper",yes,"real batches created through authenticated API","token file availability remains environment-dependent",FIXED_PENDING_REAUDIT
L4-003,,CRITICAL,Level4 audit,"validator returned passed despite failures","any collected failure now returns failed","no false PASS","scripts/run_level4_audit.py","unit regression constructs failed invariant","corrected result expression",none,backward-compatible,revert expression,yes,"real validator executed","does not create missing Level4 capabilities",FIXED_PENDING_REAUDIT
L4-004,,CRITICAL,Walk-forward,"expansion has train and test only","no independent validation/OOS selection or anti-leak proof","train/validation/OOS lineage and fingerprint","web/backend/app/services/experiment_batches.py","inspect four-item real batch and config","not implemented",likely,"requires versioned schema/API","feature flag","missing,"4/4 current train/test jobs succeeded","successful execution does not prove no leakage",OPEN
L4-005,,HIGH,Batch recovery,"acceptance lacks failed child retry/cancel/restart","all current children succeeded; no recovery branch exercised","retry only failed; preserve successes; cancel/restart stable","web/backend/app/services/experiment_batches.py","compare required matrix with evidence","not implemented",none,"must preserve API","feature flag",missing,none,"batch orchestration recovery unproven",OPEN
OPS-001,AUD-019,CRITICAL,Fault recovery,"only service restart smoke exists","full disk/OOM/network/in-flight/concurrency matrix absent","isolated matrix with invariants and RTO","scripts/run_service_restart_fault_acceptance.py","compare script options to requested matrix","not implemented",none,n/a,n/a,missing,"historical partial JSON only","corruption/recovery behavior unknown",OPEN
OPS-002,,HIGH,SLO/runbook,"targets were undocumented","target SLO/RPO/RTO/budgets/runbook now versioned but untested","measured certified controls and escalation","config/operational-slo.yaml;docs/operations/level5-runbook.md","inspect certification flag","added TARGET_NOT_YET_CERTIFIED material",none,n/a,revert docs/config,review only,none,"operators may mistake targets for achieved results",PARTIAL
DR-001,AUD-011,CRITICAL,Disaster recovery,"restore evidence is small-scale","no encrypted representative-size independent-volume restore","measured RPO/RTO and full object recovery","scripts/backup_mysql.sh;scripts/restore_mysql.sh","review historical evidence","not implemented",none,n/a,n/a,missing,none,"data loss and restore duration unknown",OPEN
